año;pos_tag;frecuencia
2022;PDT;974
2022;WDT;449
2022;FW;183
2022;JJS;224
2022;'';32
2022;EX;162
2022;RBR;143
2022;NNPS;65
2022;$;8
2022;RBS;30
2023;VB;13388
2023;PRP;30949
2023;RP;2367
2023;RB;12531
2023;VBP;16601
2023;WRB;1977
2023;VBD;7093
2023;VBG;3388
2023;TO;4510
2023;NNP;18451
2023;IN;19167
2023;NN;31496
2023;EX;245
2023;VBZ;4803
2023;JJ;11915
2023;PRP$;6321
2023;DT;17218
2023;JJR;478
2023;MD;3400
2023;WP;1326
2023;NNS;6309
2023;PDT;370
2023;CC;5709
2023;VBN;2661
2023;POS;692
2023;UH;229
2023;WDT;833
2023;CD;1438
2023;RBR;196
2023;JJS;218
2023;NNPS;93
2023;RBS;22
2023;'';22
2023;FW;150
2023;WP$;6
2023;$;6
2018;NNP;26980
2018;NN;51471
2018;PRP;55157
2018;VBP;29466
2018;RB;23022
2018;PRP$;10088
2018;VBZ;7753
2018;IN;32662
2018;JJ;19370
2018;NNS;10814
2018;VBD;11271
2018;TO;6990
2018;DT;28795
2018;VBG;6744
2018;CC;8770
2018;VB;22589
2018;MD;5933
2018;EX;425
2018;WP;2137
2018;VBN;4269
2018;POS;1110
2018;WRB;3283
2018;RP;4402
2018;JJS;453
2018;CD;2345
2018;WDT;840
2018;FW;197
2018;JJR;1092
2018;RBR;299
2018;UH;297
2018;PDT;632
2018;NNPS;146
2018;RBS;58
2018;'';29
2018;$;16
2018;WP$;1
2020;VBG;6225
2020;WP;1987
2020;PRP;53112
2020;VBD;11148
2020;IN;31457
2020;NN;48714
2020;CC;8137
2020;DT;26618
2020;NNS;9385
2020;VBP;28721
2020;RB;22505
2020;VB;21282
2020;JJ;18643
2020;TO;6540
2020;UH;293
2020;MD;5349
2020;NNP;28206
2020;VBZ;7452
2020;CD;2350
2020;PRP$;9152
2020;WRB;3105
2020;RP;3804
2020;PDT;512
2020;VBN;4194
2020;JJR;812
2020;JJS;409
2020;WDT;980
2020;POS;1313
2020;RBR;329
2020;NNPS;139
2020;RBS;42
2020;EX;400
2020;FW;280
2020;$;12
2020;'';40
2020;WP$;3
2001;DT;2641
2001;NNS;1180
2001;VBP;2043
2001;RB;1841
2001;NN;4991
2001;IN;2703
2001;PRP;3651
2001;VBD;893
2001;VBG;472
2001;MD;449
2001;VB;1780
2001;NNP;2987
2001;VBZ;733
2001;JJR;50
2001;WRB;225
2001;JJ;1719
2001;CC;879
2001;PRP$;812
2001;TO;565
2001;WP;265
2001;VBN;344
2001;POS;166
2001;CD;389
2001;PDT;81
2001;EX;28
2001;WDT;110
2001;RP;267
2001;RBR;25
2001;JJS;47
2001;FW;18
2001;UH;11
2001;'';1
2001;NNPS;16
2001;WP$;2
2001;$;3
2019;NNP;26772
2019;VBD;11554
2019;DT;28219
2019;NN;50296
2019;IN;32570
2019;PRP;54095
2019;VBP;28631
2019;RB;23108
2019;VB;22047
2019;JJ;18851
2019;PDT;628
2019;VBG;6655
2019;PRP$;9855
2019;NNS;10234
2019;WP;1971
2019;VBN;4395
2019;MD;5943
2019;CC;8545
2019;TO;6632
2019;CD;2269
2019;RP;4226
2019;JJR;1142
2019;VBZ;7602
2019;EX;592
2019;WRB;3290
2019;RBR;407
2019;UH;302
2019;NNPS;148
2019;JJS;460
2019;POS;1127
2019;WDT;843
2019;RBS;56
2019;FW;287
2019;'';44
2019;$;3
2011;PRP$;2374
2011;NN;10935
2011;VBZ;1916
2011;NNS;2229
2011;VBP;5419
2011;DT;5904
2011;PRP;9982
2011;MD;1291
2011;VB;4388
2011;RB;4257
2011;WRB;664
2011;IN;6502
2011;JJ;3881
2011;NNP;5277
2011;VBD;1970
2011;CC;2133
2011;VBG;1577
2011;TO;1601
2011;WDT;198
2011;UH;44
2011;RP;1072
2011;CD;547
2011;JJR;192
2011;WP;404
2011;POS;248
2011;VBN;974
2011;PDT;121
2011;EX;136
2011;RBR;53
2011;JJS;112
2011;$;1
2011;FW;37
2011;'';8
2011;NNPS;23
2011;RBS;10
2014;PRP$;4117
2014;NN;20300
2014;IN;13343
2014;EX;330
2014;VBD;4281
2014;DT;11914
2014;TO;2987
2014;VB;9250
2014;PRP;21379
2014;RB;9188
2014;MD;2618
2014;VBG;3198
2014;VBP;11319
2014;WRB;1452
2014;CC;3966
2014;RP;1590
2014;JJ;7739
2014;VBN;1796
2014;VBZ;3480
2014;WP;916
2014;NNP;11308
2014;NNS;4300
2014;CD;954
2014;POS;513
2014;WDT;397
2014;UH;143
2014;NNPS;86
2014;RBR;123
2014;FW;100
2014;JJR;334
2014;'';19
2014;PDT;228
2014;JJS;155
2014;RBS;17
2014;$;5
2016;PRP;37185
2016;VBP;19771
2016;IN;22995
2016;VBZ;5492
2016;VBG;5231
2016;NN;35524
2016;CC;6561
2016;RB;15755
2016;PDT;384
2016;DT;20457
2016;MD;4059
2016;VB;16003
2016;NNS;7171
2016;NNP;18658
2016;JJ;13097
2016;JJR;664
2016;EX;380
2016;TO;5460
2016;WRB;2070
2016;PRP$;7002
2016;RP;3105
2016;NNPS;74
2016;VBN;3138
2016;CD;1527
2016;VBD;7586
2016;WP;1475
2016;FW;173
2016;WDT;617
2016;UH;244
2016;POS;777
2016;JJS;273
2016;RBR;207
2016;'';21
2016;RBS;22
2016;WP$;4
2016;$;4
2012;CD;558
2012;IN;8493
2012;PRP;12609
2012;MD;1599
2012;VB;5678
2012;PRP$;2532
2012;NNS;2933
2012;VBP;6763
2012;NNP;7236
2012;JJ;5053
2012;CC;2567
2012;VBG;1682
2012;NN;13141
2012;WP;559
2012;VBZ;2461
2012;DT;7603
2012;WRB;796
2012;RB;5647
2012;TO;1946
2012;VBD;2525
2012;VBN;1134
2012;WDT;200
2012;JJR;178
2012;RP;971
2012;JJS;191
2012;POS;397
2012;EX;213
2012;UH;198
2012;NNPS;25
2012;PDT;138
2012;RBR;52
2012;FW;44
2012;RBS;16
2012;'';5
2012;$;2
2012;WP$;1
2006;JJ;2512
2006;NN;6497
2006;PRP;6269
2006;VBP;3256
2006;DT;3608
2006;TO;973
2006;VB;2797
2006;NNP;3775
2006;VBD;1344
2006;PRP$;1195
2006;NNS;1426
2006;WRB;352
2006;RB;2770
2006;IN;3921
2006;EX;62
2006;VBZ;1073
2006;VBG;493
2006;MD;639
2006;CC;1310
2006;JJR;101
2006;RP;442
2006;POS;196
2006;VBN;604
2006;CD;366
2006;WDT;88
2006;JJS;65
2006;WP;279
2006;NNPS;21
2006;RBS;10
2006;PDT;52
2006;RBR;35
2006;UH;11
2006;FW;40
2006;'';4
2006;$;2
2006;WP$;1
1997;IN;1418
1997;CD;180
1997;NNS;509
1997;CC;435
1997;NN;2512
1997;TO;391
1997;VB;1125
1997;PRP;1976
1997;RB;909
1997;VBD;489
1997;NNP;1565
1997;JJ;968
1997;MD;322
1997;VBN;247
1997;VBZ;381
1997;RP;222
1997;DT;1365
1997;PRP$;403
1997;VBP;1021
1997;VBG;149
1997;WRB;216
1997;WP;94
1997;JJR;47
1997;WDT;38
1997;NNPS;10
1997;POS;76
1997;FW;14
1997;RBR;5
1997;PDT;29
1997;EX;12
1997;JJS;17
1997;RBS;5
1997;WP$;1
1997;UH;4
2009;NNP;5353
2009;NN;9250
2009;WP;463
2009;RP;633
2009;DT;5343
2009;PRP;9337
2009;VBP;4981
2009;TO;1490
2009;VB;4308
2009;RB;4042
2009;VBD;1669
2009;IN;6019
2009;JJ;3400
2009;MD;1209
2009;CC;1825
2009;PDT;117
2009;JJR;190
2009;VBZ;1666
2009;WRB;465
2009;RBR;50
2009;NNS;1922
2009;WDT;188
2009;VBG;1114
2009;PRP$;1849
2009;CD;391
2009;POS;242
2009;VBN;749
2009;EX;127
2009;JJS;79
2009;NNPS;34
2009;RBS;11
2009;FW;56
2009;UH;83
2009;'';5
2009;WP$;1
2002;PRP;3338
2002;MD;434
2002;RB;1417
2002;VB;1702
2002;WRB;230
2002;VBP;1829
2002;IN;2103
2002;DT;1883
2002;TO;505
2002;NNP;1864
2002;VBZ;685
2002;NNS;804
2002;VBG;482
2002;NN;3672
2002;CC;852
2002;JJ;1497
2002;VBD;622
2002;PRP$;768
2002;RP;232
2002;VBN;232
2002;WP$;2
2002;PDT;26
2002;CD;184
2002;RBS;7
2002;EX;25
2002;WP;170
2002;JJR;71
2002;WDT;63
2002;POS;104
2002;RBR;29
2002;NNPS;10
2002;JJS;35
2002;UH;19
2002;FW;13
2002;'';5
2010;PRP;7712
2010;VBP;4053
2010;RB;3568
2010;NNS;1876
2010;NN;7694
2010;DT;4538
2010;NNP;4276
2010;VBD;1795
2010;CC;1769
2010;IN;5011
2010;MD;907
2010;VB;3639
2010;EX;105
2010;VBG;957
2010;VBZ;1298
2010;TO;1251
2010;POS;244
2010;JJ;2894
2010;NNPS;23
2010;WRB;480
2010;WDT;129
2010;JJS;81
2010;PRP$;1560
2010;RP;654
2010;VBN;727
2010;JJR;175
2010;CD;376
2010;WP;415
2010;RBS;12
2010;PDT;114
2010;UH;34
2010;RBR;64
2010;FW;17
2010;'';5
2005;WRB;372
2005;DT;3566
2005;NN;6138
2005;VBZ;1033
2005;PRP;6109
2005;RP;519
2005;VBP;3115
2005;VBN;526
2005;CC;1294
2005;IN;3867
2005;JJ;2287
2005;RB;2714
2005;PRP$;1044
2005;VBG;760
2005;NNP;3278
2005;VB;2873
2005;WP;271
2005;MD;763
2005;NNS;1351
2005;POS;204
2005;UH;14
2005;WDT;122
2005;VBD;1252
2005;TO;1022
2005;WP$;4
2005;RBR;44
2005;CD;262
2005;EX;59
2005;JJR;77
2005;JJS;50
2005;PDT;90
2005;FW;33
2005;'';4
2005;NNPS;15
2005;RBS;2
1995;NN;2707
1995;RB;1135
1995;PRP;2462
1995;VBP;1428
1995;JJ;971
1995;IN;1665
1995;DT;1420
1995;NNP;1558
1995;VBG;338
1995;NNS;583
1995;CC;578
1995;VB;1225
1995;VBN;258
1995;TO;544
1995;WRB;202
1995;PRP$;402
1995;VBZ;402
1995;MD;283
1995;VBD;481
1995;CD;186
1995;POS;153
1995;EX;29
1995;WP;124
1995;RP;192
1995;WDT;44
1995;FW;13
1995;JJR;39
1995;PDT;29
1995;UH;10
1995;JJS;17
1995;NNPS;8
1995;RBR;15
1995;'';3
1995;RBS;1
1999;IN;3044
1999;DT;2688
1999;NNP;3854
1999;NN;4736
1999;PRP;3899
1999;VBP;2077
1999;CC;913
1999;RB;1674
1999;VB;1994
1999;JJ;1712
1999;PRP$;824
1999;NNS;1087
1999;VBG;351
1999;WRB;279
1999;VBZ;691
1999;POS;180
1999;WDT;147
1999;MD;445
1999;TO;825
1999;VBN;349
1999;EX;42
1999;RP;346
1999;CD;276
1999;VBD;841
1999;WP;289
1999;UH;10
1999;PDT;36
1999;WP$;1
1999;RBR;25
1999;JJS;45
1999;JJR;54
1999;NNPS;22
1999;RBS;7
1999;$;1
1999;FW;7
2008;PRP;6734
2008;VBD;1366
2008;DT;3831
2008;NN;6783
2008;IN;4100
2008;PRP$;1305
2008;JJ;2507
2008;NNS;1338
2008;RB;2845
2008;TO;1063
2008;VB;3012
2008;VBP;3547
2008;VBG;715
2008;PDT;75
2008;JJS;85
2008;NNP;4135
2008;MD;816
2008;RP;366
2008;VBZ;1248
2008;CC;1297
2008;WP;344
2008;WRB;398
2008;CD;314
2008;JJR;126
2008;RBR;41
2008;POS;173
2008;WDT;109
2008;VBN;600
2008;UH;29
2008;EX;60
2008;WP$;2
2008;NNPS;29
2008;FW;27
2008;$;2
2008;'';4
1993;RB;821
1993;VBZ;558
1993;VB;825
1993;DT;1325
1993;NN;2199
1993;IN;1222
1993;PRP;1825
1993;VBP;1066
1993;TO;316
1993;NNP;1905
1993;VBD;342
1993;WDT;39
1993;VBN;147
1993;CC;406
1993;VBG;125
1993;JJ;966
1993;FW;10
1993;CD;100
1993;NNS;438
1993;WRB;211
1993;PRP$;330
1993;JJS;16
1993;POS;63
1993;MD;180
1993;RP;172
1993;WP;102
1993;JJR;23
1993;PDT;15
1993;RBR;13
1993;EX;72
1993;UH;23
1993;NNPS;10
1993;$;1
1993;RBS;1
1993;'';1
2007;NNP;3821
2007;IN;4040
2007;PRP;6203
2007;VBP;3078
2007;VBD;1420
2007;JJ;2152
2007;NN;6153
2007;TO;941
2007;VB;2623
2007;CC;1336
2007;MD;704
2007;RB;2364
2007;WP;288
2007;WRB;458
2007;NNS;1544
2007;VBZ;1094
2007;PRP$;1153
2007;VBN;589
2007;RP;457
2007;DT;3749
2007;CD;383
2007;JJR;109
2007;VBG;690
2007;POS;150
2007;EX;59
2007;PDT;64
2007;RBS;11
2007;RBR;32
2007;WDT;119
2007;JJS;52
2007;$;1
2007;NNPS;35
2007;'';8
2007;UH;13
2007;FW;22
2007;WP$;1
1998;NNP;3047
1998;PRP;3805
1998;JJR;94
1998;VB;1916
1998;IN;3042
1998;VBZ;962
1998;VBP;2139
1998;VBN;470
1998;NN;4995
1998;RP;339
1998;JJ;1901
1998;NNS;1176
1998;PRP$;880
1998;CD;310
1998;CC;926
1998;RB;1711
1998;TO;773
1998;VBD;938
1998;DT;2716
1998;WDT;96
1998;WP;212
1998;MD;499
1998;WRB;263
1998;PDT;53
1998;POS;165
1998;UH;24
1998;VBG;451
1998;RBR;21
1998;JJS;52
1998;EX;57
1998;FW;26
1998;NNPS;11
1998;WP$;1
1998;RBS;6
1998;$;3
1998;'';3
1991;PRP;1469
1991;VBP;698
1991;RB;662
1991;NN;1625
1991;IN;1040
1991;VBN;149
1991;DT;1029
1991;JJ;609
1991;NNS;398
1991;CC;461
1991;PRP$;247
1991;NNP;944
1991;VBZ;301
1991;TO;290
1991;MD;194
1991;VB;725
1991;WRB;103
1991;RP;135
1991;WP;61
1991;POS;51
1991;CD;126
1991;WDT;37
1991;JJR;31
1991;VBD;484
1991;VBG;87
1991;EX;25
1991;FW;9
1991;JJS;22
1991;RBR;11
1991;NNPS;6
1991;UH;2
1991;PDT;8
1991;$;1
1992;PRP;1349
1992;MD;166
1992;VB;585
1992;IN;803
1992;JJ;530
1992;NNP;980
1992;VBZ;308
1992;RB;516
1992;VBG;197
1992;NN;1587
1992;VBP;595
1992;EX;48
1992;VBD;278
1992;RP;51
1992;TO;254
1992;PDT;13
1992;DT;825
1992;NNS;235
1992;CC;243
1992;PRP$;240
1992;WDT;35
1992;VBN;116
1992;WP;83
1992;WRB;107
1992;POS;65
1992;CD;72
1992;JJR;51
1992;RBR;8
1992;UH;5
1992;JJS;9
1992;NNPS;1
1992;FW;2
2003;PRP;4927
2003;VBD;949
2003;DT;3007
2003;NN;5441
2003;IN;3571
2003;VBP;2537
2003;RB;1931
2003;VBG;456
2003;PRP$;921
2003;CC;938
2003;NNP;2921
2003;VBZ;891
2003;CD;339
2003;JJ;1896
2003;NNS;1225
2003;VBN;363
2003;JJR;96
2003;VB;2104
2003;WDT;117
2003;NNPS;26
2003;MD;545
2003;TO;706
2003;WP;243
2003;POS;139
2003;RP;332
2003;WRB;344
2003;RBR;43
2003;PDT;47
2003;EX;43
2003;UH;12
2003;FW;12
2003;JJS;42
2003;RBS;5
2003;'';3
1996;NNP;1924
1996;IN;2051
1996;CC;723
1996;DT;1739
1996;MD;400
1996;PRP;2620
1996;VB;1251
1996;NNS;762
1996;WP;150
1996;VBP;1350
1996;VBN;230
1996;NN;3395
1996;RB;1152
1996;JJ;1229
1996;VBD;637
1996;VBZ;628
1996;RBR;12
1996;WDT;50
1996;PRP$;565
1996;POS;113
1996;TO;449
1996;CD;165
1996;WRB;169
1996;EX;33
1996;RP;199
1996;JJR;49
1996;VBG;302
1996;UH;10
1996;JJS;29
1996;PDT;33
1996;$;1
1996;NNPS;7
1996;FW;6
1996;WP$;1
1996;RBS;2
1990;NNS;247
1990;VBN;121
1990;VBD;341
1990;RB;647
1990;PRP;1434
1990;TO;252
1990;VB;660
1990;DT;913
1990;VBP;675
1990;WP;81
1990;IN;789
1990;NNP;1117
1990;NN;1491
1990;POS;63
1990;CC;329
1990;JJ;551
1990;WRB;75
1990;PRP$;239
1990;VBZ;349
1990;PDT;10
1990;CD;93
1990;WDT;26
1990;JJR;30
1990;MD;170
1990;EX;15
1990;RBS;3
1990;RP;115
1990;'';3
1990;VBG;155
1990;FW;5
1990;UH;8
1990;RBR;3
1990;JJS;11
1990;NNPS;2
1990;$;1
2004;EX;114
2004;VBZ;991
2004;DT;3183
2004;JJ;2334
2004;NN;5825
2004;VBN;475
2004;RB;2480
2004;IN;3696
2004;CC;1144
2004;VBP;2970
2004;VBD;1028
2004;PRP;5661
2004;CD;320
2004;TO;890
2004;VB;2674
2004;NNP;3802
2004;VBG;606
2004;WDT;107
2004;PRP$;1035
2004;NNS;1272
2004;MD;812
2004;WRB;383
2004;POS;241
2004;NNPS;28
2004;WP;262
2004;RP;408
2004;FW;118
2004;UH;22
2004;JJS;32
2004;RBR;32
2004;$;5
2004;JJR;95
2004;PDT;58
2004;'';2
2000;PRP;3898
2000;RB;1669
2000;VBD;804
2000;IN;2635
2000;DT;2401
2000;JJ;1556
2000;NN;4286
2000;MD;538
2000;VB;1929
2000;WP;289
2000;VBP;2199
2000;TO;646
2000;CC;797
2000;PRP$;837
2000;NNS;980
2000;NNP;2491
2000;VBG;421
2000;VBN;366
2000;WDT;108
2000;VBZ;762
2000;CD;187
2000;WRB;300
2000;RP;341
2000;JJR;41
2000;NNPS;18
2000;EX;64
2000;RBS;2
2000;POS;130
2000;PDT;49
2000;JJS;42
2000;RBR;24
2000;UH;21
2000;FW;4
2000;$;1
2000;'';2
